"id";"indicator_name";"year";"value"
1;"population";2020;48.8
2;"population";2021;49.7
4;"gdp_growth";2020;-0.3
5;"population";2022;50.6
6;"population";2023;51.5
7;"population";2024;52.4
8;"gdp_growth";2021;7.6
9;"gdp_growth";2022;4.9
12;"trade_balance";2020;-999853.9
13;"gdp_growth";2023;5.7
14;"gdp_growth";2024;4.7
15;"trade_balance";2021;-1375688.0
16;"trade_balance";2022;-1617630.2
17;"trade_balance";2023;-1604057.7
18;"trade_balance";2024;-1593957.4
19;"money_supply";2020;4414885.0
20;"money_supply";2021;4689439.0
21;"money_supply";2022;5042419.0
22;"money_supply";2023;6044533.0
23;"money_supply";2024;6105541.0
24;"electricity_consumption";2020;8796.4
25;"electricity_consumption";2021;9565.4
26;"electricity_consumption";2022;10008.4
27;"electricity_consumption";2023;10320.6
28;"electricity_consumption";2024;10751.7
29;"gdp_market_prices";2020;10715070.0
30;"gdp_market_prices";2021;12027661.5
31;"gdp_market_prices";2022;13489641.5
32;"gdp_market_prices";2023;15033610.0
33;"gdp_market_prices";2024;16224478.5
34;"gdp_per_capita";2020;219492.2
35;"gdp_per_capita";2021;241906.8
36;"gdp_per_capita";2022;266473.0
37;"gdp_per_capita";2023;291769.7
38;"gdp_per_capita";2024;309460.4
39;"total_domestic_credit";2020;4869627.0
40;"total_domestic_credit";2021;5566513.0
41;"total_domestic_credit";2022;6246348.0
42;"total_domestic_credit";2023;7041087.0
43;"total_domestic_credit";2024;7197303.0
44;"construction_output";2020;1623605.0
45;"construction_output";2021;1821644.0
46;"construction_output";2022;2042781.5
47;"construction_output";2023;2119786.8
48;"construction_output";2024;2171266.0
49;"manufacturing_output";2020;2376422.7
50;"manufacturing_output";2021;2700161.2
51;"manufacturing_output";2022;3168615.0
52;"manufacturing_output";2023;3511497.7
53;"manufacturing_output";2024;3691741.8
54;"petroleum_consumption";2020;4678.5
55;"petroleum_consumption";2021;5192.1
56;"petroleum_consumption";2022;5134.1
57;"petroleum_consumption";2023;5102.4
58;"petroleum_consumption";2024;5199.4
64;"wage_employment";2020;2742.6
65;"wage_employment";2021;2907.3
66;"wage_employment";2022;3015.4
67;"wage_employment";2023;3138.5
68;"wage_employment";2024;3219.0
69;"education_primary_enrolment";2020;10170.1
70;"education_primary_enrolment";2021;10285.1
71;"education_primary_enrolment";2022;10364.2
72;"education_primary_enrolment";2023;10397.1
73;"education_primary_enrolment";2024;10733.3
74;"education_secondary_enrolment";2020;3520.4
75;"education_secondary_enrolment";2021;3692.0
76;"education_secondary_enrolment";2022;3920.3
77;"education_secondary_enrolment";2023;4108.1
78;"education_secondary_enrolment";2024;4321.6
79;"education_university_enrolment";2020;546.7
80;"education_university_enrolment";2021;562.0
81;"education_university_enrolment";2022;562.9
82;"education_university_enrolment";2023;579.4
83;"education_university_enrolment";2024;630.2
84;"education_otherpostsecondary_enrolment";2020;469.1
85;"education_otherpostsecondary_enrolment";2021;520.2
86;"education_otherpostsecondary_enrolment";2022;580.5
87;"education_otherpostsecondary_enrolment";2023;676.2
88;"education_otherpostsecondary_enrolment";2024;751.0
